Nombre Empresa,Territorio DEX,Clientes con compra,Nro de familias,importe preventa sin igv,Venta Real Bruto (S/. 000),Peso Real  (Ton)
D L F MEDINA RIVERA SA,487001,247,2910,82568.49,81952.97,11.0685
D L F MEDINA RIVERA SA,487002,227,2268,97138.14,90560.25,12.0933
DISTRIBUIDORA CUNZA S.A.,607001,308,2572,157941.01,85237.93,12.1807
DISTRIBUIDORA CUNZA S.A.,607002,336,3217,174670.21,115683.56,14.8371
DISTRIBUIDORA CUNZA S.A.,607003,233,2103,71571.43,59163.43,8.8283
DISTRIBUIDORA CUNZA S.A.,607004,173,1004,43310.06,36076.85,4.398
DISTRIBUIDORA NUGENT SA,617001,177,1580,62371.33,53441.79,7.4146
DISTRIBUIDORA NUGENT SA,617002,74,612,37964.37,32137.24,4.0298
DISTRIBUIDORA JC SAC,227001,213,1904,66983.52,52905.76,7.4584
DISTRIBUIDORA JC SAC,227002,223,1957,62852.37,54008.52,7.8489
DISTRIBUIDORA MADEX SAC,147001,361,2672,79974.2,68901.06,9.9601
DISTRIBUIDORA MADEX SAC,147002,310,2701,105349.13,85326.17,13.5489
DISTRIBUIDORA OTOYA S.A.C.,217001,94,850,29494.97,28379.93,4.4901
DISTRIBUIDORA DIFARO S.A.C.,177001,235,2097,81074.77,71101.21,10.6421
DISTRIBUIDORA DIFARO S.A.C.,177002,98,904,31245.78,29379,4.5326
DIST.DE PRODUCTOS DE CONSUMO MASIVO,87001,94,1229,64860.67,63823.76,8.5705
DISTRIBUIDORA RODRIGUEZ S.A.,827001,179,1895,82552.05,78110.72,12.2914
DISTRIBUIDORA ALIMENTOS DEL VALLE,327001,265,2419,98038.87,99385.49,13.8397
DISTRIBUIDORA ALIMENTOS DEL VALLE,327002,217,1618,41203.14,40883.49,5.6876
DISTRIBUIDORA ALIMENTOS DEL VALLE,327003,222,2161,81484.89,80671.44,11.0282
VITALE DEX S.A.C.,297001,235,2754,113300.87,105235.09,18.7325
MBA DEX SOCIEDAD ANONIMA CERRADA,107001,187,1267,43434.56,37883.59,5.718
MBA DEX SOCIEDAD ANONIMA CERRADA,107002,134,1075,45047.22,40098.88,6.5471
SAYMER DISTRIBUCIONES E.I.R.L.,637001,49,208,17138.27,9186.53,1.2899
DISTRIBUCIONES EXCLUSIVAS DEL SUR,877001,254,2138,77335.68,68126.97,11.9139
DISTRIBUCIONES EXCLUSIVAS DEL SUR,877002,107,615,27827.35,19129.32,3.3884
ATIPANA DEX S.A.C.,997001,335,2403,96337.13,94439.35,11.8532
ATIPANA DEX S.A.C.,997002,420,3592,128586.64,118598.24,15.7442
COBERDEX SOCIEDAD ANONIMA CERRADA,977001,230,2206,82838.92,80435.57,10.7898
COBERDEX SOCIEDAD ANONIMA CERRADA,977002,279,3123,93379.82,91953.54,12.4237
COBERDEX SOCIEDAD ANONIMA CERRADA,977003,278,2140,84401.26,79584.53,10.7104
COBERDEX SOCIEDAD ANONIMA CERRADA,977004,241,1717,81399.03,78940.16,10.6089
FUERZADEX S.A.C.,57001,226,1568,91219.93,52943.69,7.5718
FUERZADEX S.A.C.,57002,172,1500,92811.87,57780.17,8.3225
FUERZADEX S.A.C.,57003,196,1880,97646.27,69053.67,9.4525
